en,ngiemboon
ésẅɛb,pinch
ésíle,pinch
lelaŋ,pineapple
ngáb,pineapple
ésẅɛb,pin on
ḿbyɛ́ʼte,pin on
mákẅálá,pin-tailed whydah
lesɔ̀ɔn,pip
káb,pipe
tâŋ,pipe
tòŋte káb,pipe cleaner
lekɔ̌ɔn lɔ̀ɔn,"pipe, mould"
nkwoŋ,pipe stem
mélesɔ̀ɔn,"pip, small"
pepáŋ,pirouette
njʉʼ,"""pistachio nut"""
fɔ̀bɔ njʉʼ,"pistachio nut, unripe"
gǒon,pit
ntɔ́ʼ,pit
mbaŋ,pit
tɔ̌ɔn,pit
tɔ́ɔn,pit
gem,pit
ngàb ntʉ̀,pita
gwɔ̀bɔ,pitchfork
ngàg,pitchfork
ngwɔ̀bɔ,pitchfork
ngwɔ̀b,pitchfork
mefagá,pitchfork
kînáʼ,pithaya cherry
pfwɔʼɔ́,"pith, bamboo"
ndwò,pith of a gourd
ndwò,pith of a melon
njʉʼ,"pits, melon"
mezèŋe,pity
tsɔ́ɔn mézìŋe,pity
ńtsɔ́ɔn mezìŋe,"pity, have"
fùɔ ntsɔ́ɔn,pity king
ńzáb,place
jʉʼ,place
ntyè,place
