en,ngiemboon
ésẅɛb,nab
ḿbyɛ́ʼte,nab
nkǐb,nail
nkèmbàŋ,nail
ńkim,nail
mbaŋ,nail
mbàŋa tʉ̌,nail
ńkime,nail
ńkẅi,"nail, drive"
ńkẅite,"nail, drive"
máa sèm,nailed skin drumhead
máa nkà,nailed skin drumhead
múɔ sèm,nailed skin head
tsɔ̀ʼɔ mémbaŋ,nail puller
lezíŋ,name
péle lezíŋ,"name, first"
ńtsẅi,name someone
sẅè,nanny goat
nzème twó,nape of the neck
nzèm lóŋ,nape of the neck
kekàʼa,Napier grass
táagwèle,napkin
pyɛ́ʼte,narrative
mápitsɔ̀ʼ,narrative
píte,narrative
mbìte ncwò,narrator
málekàŋ,narrator
gyà shwóŋ,narrator
mbìte,narrator
ngyà shwóŋ,narrator
sẅì,narrow
nkɔ́g,narrow
sóon,nastiness
ḿbád,"nasty, be"
ngàŋa fʉ̌ʼ nò,nasty person
ssé ntʉ́m,nasty person
ngwòŋ,nation
ntùŋ letoŋ,native land
njÿó,nature
pʉ̀e lóŋ,nausea
kántoŋ,naval wound up
letoŋ,navel
