en,ngiemboon
kapáŋapùʼ,dagger
tÿǒ pùʼ,dagger
lyɛ̌ʼ ntsèm,daily
pàŋa twó,daisy
letiʼí ntse,dam
sí,dance
mâsî,dance
ńzíŋ,dance
pɔ̂g,dance
ńzíŋte,dance after the funeral
ńzíŋte,dance as a group
fùʼmbùm,"dance at Batcham, k."
kàba,"dance clothes, women’s"
nzsozíŋ,dance costume
mangɔ́ʼ,dance for young people
téŋ,"dance instrument, k."
tʉ́ŋ,"dance instrument, k."
pàŋ nÿɔ́g,"dance, k. cultural"
makòŋ ngé,"dance, k. cultural"
megùb nzáŋ,"dance, k. cultural"
malʉ́ŋ,"dance, k. cultural"
manzàb,"dance, k. cultural"
sàmbà,"dance, k. cultural"
ndÿɔ̀g,"dance, k. cultural"
nkáŋ nkyɛ,"dance, k. cultural"
ngele,"dance, k. cultural"
fwɔ̀ʼ ssé,"dance, k. cultural"
gwaʼ ntaŋ,"dance, k. cultural"
lefÿɛ́,"dance, k. cultural"
pèle mpfóŋ,"dance, k. cultural"
tsébe,"dance, k. cultural"
máwàcùʼ,"dance, k. cultural"
ndànzse,"dance, k. cultural"
tà nò pʉ̀a wɔ́ɔn ńgÿo,"dance, k. cultural"
kẅíʼ fùɔ,"dance, k. cultural"
shùshwòŋ,"dance, k. cultural"
mankwɔʼ,"dance, k. cultural"
tége ńkẅé,"dance, k. cultural"
ngòŋngé,"dance, k. cultural"
zíŋe mendóŋ,"dance, k. cultural"
nkàmbwɔ̀ʼ,"dance, k. cultural"
kelɔ̂g,"dance, k. cultural"
ndèndoŋ,"dance, k. cultural"
ndànzì,"dance, k. cultural"
mbáʼ ntsɔɔn,"dance, k. cultural"
mbèyà,"dance, k. cultural"
ngɔ́ʼ,"dance, k. cultural"
pabtwó,"dance, k. cultural"
ngʉle,"dance, k. cultural"
malí,"dance, k. cultural"
lepàŋndâŋ,"dance, k. cultural"
nyɛlôŋ,"dance, k. cultural"
sàga mvɔ́gɔ,"dance, k. cultural"
késhʉʼ,"dance, k. cultural"
kànɔ̀ɔn,"dance, k. cultural"
malàntê,"dance, k. cultural"
kwàkwà,"dance, k. cultural"
kɔ̀ɔn,"dance, k. cultural"
mánzàʼ,"dance, k. cultural"
mántÿɔʼ,"dance, k. cultural"
sàmalí,"dance, k. cultural"
melàntɛ̂,"dance, k. cultural"
múɔ ngùɔ kwò mɔ́ʼɔ,"dance, k. cultural"
nnameshú,"dance, k. cultural"
zíŋ,"dance, k. cultural"
kwɔ̀ʼɔ nzáŋ,"dance, k. cultural"
méwàcùʼ,"dance, k. cultural"
nàmeshǔ,"dance, k. cultural"
mbàŋa nèm,"dance, k. cultural"
múɔ mánzòŋ,"dance, k. cultural"
kwáŋ mezwě fùɔ,"dance, k. cultural"
mbàntùʼ,"dance, k. cultural"
ndameshǔ,"dance, k. cultural"
ntsyɛ́,"dance, k. cultural"
mágɔ̀ʼpʉ̌ŋ,"dance, k. cultural"
nkèmbwɔ̀ʼ,"dance, k. cultural"
nzèm mesà,"dance, k. cultural"
kùʼngàŋ,"dance, k. cultural"
kʉŋ nzèm,"dance, k. cultural"
ngwà shùm,"dance, k. cultural"
nèŋe tsébe,"dance, k. cultural"
ntsèbe,"dance, k. cultural"
pfɔ̌g,"dance, k. cultural rite"
zíŋ,"dance, k. funeral"
nně sàmbà,dance machete
ńtsẅɛ,"dance, not know how"
nzìŋe,dancer
zíŋ,dancer
nèŋe tsébe,dancer
zèzàb,"dance skirt, fibre"
kéyàʼ,"dance, song from"
lekwoŋ lúŋ,dance spear
lekwoŋ shÿɔ́ʼ,dance spear
nně lǔŋ,dance sword
ńkub,dance 
ńtuʼ,"dancing, rejoice"
ńkaʼte,"dancing, rejoice by"
