en,ngiemboon
ésyé,trim
ńkwɔ́gte,trim
tsẅɛ́ʼ ntèbe,trinket
legìŋ,trip
mentsẅɛ́,tripod
tsɔ́ʼtè,trot
tsáŋte,trouble
ndùndú,trouble
váʼ voŋó,trouble
ńcúa nnɛ́,trouble
ńcúɔ nnɛ́,trouble
ḿbége,trouble
ńtág,"trouble, cause"
táfÿàtága,troublemaker
shùu kwò,trousers
ntìntyɛ̀ʼ,trousers
éshÿɔ́gte,"trousers, wear"
mbwɔ̀ʼ,trousseau
nénʉ́,true
kwàʼ,true
ńděen ńké,truly
mbùm nnɛ́,trunk
mbùm,trunk
kʉ̌b,trunk
kùb,trunk
gùmopàʼa,truss
megùmo,"truss, piece of framing"
nò,truth
ńnyíʼi,try
éfʉʼte,try
ńkwaʼte,try
ńtela,try
ńtúte,try
ńtú,try
ńzẅíʼ,try
ḿmwoonte,try
ńtala,try
ńtra,try
éfʉʼʉ,try
ńŋege,try hard to
ńkag tʉ̀,try hard to
ńtíɛ tʉ̀,try hard to
ḿbúʼu,"try, last"
ńkẅi,try the tom-tom
ńkẅite,try the tom-tom
ńŋáŋte,try to do something
ńtabte,try to speak
ńgẅíʼi,try to vomit
mbaŋ,tuber
