en,ngiemboon
ḿbÿágte shÿó,anger
ḿbÿɔ́gte shÿó,anger
ncʉ̀ŋe,anger
gyáŋa lóŋ,anger
lezẅé,angle
cÿɔ́ʼ Ssé,angle
ngʉ̀ŋe pwó,angle of a hand
màʼ ssó,angler
málezẅé,angle rafter
nnú metÿǒ,Angolan green snake
ńgyáŋa lóŋ,"angry, get"
mbǔe,animal
lefÿɛ́,"animal, fat"
nɔ̀ɔn,animal 
fÿɛ́ɛ nɔ̀ɔn,"animal, greased"
nzěm,animal horns
méncʉ̌a,"animal horn whistle, vertical"
méshʉa,"animal horn whistle, vertical"
ésẅɛ,"animal, raise"
pitsɔ̀ʼ,"animal, sp."
tsò,"animal, sp. aquatic"
zso,"animal, sp. aquatic"
lefÿɛ́,"animal, sterile"
fÿɛ́ɛ nɔ̀ɔn,"animal, sterile"
fÿɛ́ɛ nɔ̀ɔn,"animal, wild"
lelÿɔʼté kwò,ankle
leluʼú kwò,ankle
kéjyága,"anklet, pellet bell"
ḿbÿé,announce
pʉ́pÿé,"""announcer bird"""
tẅítẅǐ,annoyance
ésẅite,"annoyed, become"
ńdéŋ,anoint excessively
ńdʉ́ŋ,anoint excessively
