en,ngiemboon
mánènẅèen,furry caterpillar
mambǎ saŋ,furry caterpillar
mánẅìnẅì,furry caterpillar
mámbàŋa tẅɛ́,furry caterpillar
tánàŋa vèle,"fusses over something, one who"
ńgége nnɛ,fuss over
ńgége,fuss over
ḿvele,fuss over
njÿǒon,futile thing
tǎ,"future, anterior"
ge táa,"future, distant"
ge tó tá,"future, distant"
táa,"future, distant"
ge,"future, immediate"
piŋ,"future, today"
ge piŋ,"future, today"
ge gÿo,"future, tomorrow"
lu,"future, tomorrow"
ńdu,"future, tomorrow"
ge lu,"future, tomorrow"
gÿo,"future, tomorrow"
ge láʼ,"future, very distant"
láʼ,"future, very distant"
