en,ngiemboon
tá lepfó,neighbourhood chief
lepfó,neighbourhood of a village
nŋaŋ nnɛ́,nerve
ngi nnɛ́,nerve
ncʉ̀ŋe,nervousness
lóŋ,nervousness
nkʉ̀a,nest
letɔ́ɔn,net
lekÿò,net
tándì,"net, mosquito"
tsétsáʼ,"net-rattle, gourd"
mbâmbǎ,nettle 
mbâmbǎ mekú,"nettle, sp."
mbâmbǎ kwɔb,"nettle, sp."
ńkíg,"neurotic, be"
laa,never
ndaa,never
ntě,never
ntěen,never
le,never
ńtsɛ,nevertheless
mesẅé,new
pesẅé,new
sesẅé,new
wesẅé,new
sẅé,new
yesẅé,new
mákàba,new cocoyam 
kuʼú lekàŋ,new cocoyam 
mákàba páŋ,"new red cocoyam, sp."
pàŋa tenùʼ,"new red cocoyam, sp."
pàŋ nkwoŋ,"new red cocoyam, sp."
nkʉ̀,news
mantúm,newspaper
mésáʼa kɔ́,newspaper
mbɔ́ɔntè,next
ḿbɔ́ɔnte,"next, be"
njÿó lʉ́a,next day
ngʉ̀ŋe,next to
shwóŋò ngiembɔɔn,Ngiemboon language
ńdúmte,nibble
ḿmaŋte,nibble
ńnyáŋ,nibble
ńnyáŋte,nibble
ngàŋ nkùbe,niggardly
nkùbo,niggardly
nkùbe,niggardly
gʉ̀ŋe ńkÿɛ́,niggardly
