en,ngiemboon
ńtém nzèm,turn oneself
ḿbiŋe,turn over
ḿbʉete,turn over
ḿbiŋte,turn over something roasting
ḿbwɔ́ʼte,turn up
ńzwaʼ,turn upside down
pfómànkwɔ̀ʼntse,"turtle, Nile soft-shelled"
ńnyéente,"turtle’s pace, go"
ntsɔ̀b pʉ́a lé legém,twelve
móm mbʉ́a,twenty
tsɔ̀ɔ móm mbʉ́a,"twenty, around"
ntsɔ̀b wémɔʼɔ́ lé móm mbʉ́a,twenty-one
ńŋwéʼte,twiddle
syɛ̀te,twig
ngyě,twig
ngòon,twig
fʉ̀ʼʉ nèm kénáŋ,twilight
mélefág,twin
málefág,twin
sém,twin raffia shoots
mefág,twins
lefomó,"twin’s ceremonies, muscial instrument"
lefomó,"twin’s ceremonies, orchestra"
tánè,"twins, father"
shÿɔ̂málà,"twins, honorific"
mánè,"twins, mother"
tákaláʼ,"twins, oldest sibling"
mákaláʼ,"twins, oldest sibling"
lefág,"twins, one of the"
tàʼ lefág,"twins, one of the"
mélefág,"twins, one of the"
málefág,"twins, one of the"
mántùʼ kěm,"twins, rite"
