en,ngiemboon
ńtswéʼe,depend on
ńtate,deploy
ńjÿɔ́ʼ,deposit
gÿàŋa,deposit
ńjÿɔ́ʼte,deposit all over
nŋwɛ̌,deposit of smoke
cʉ̀me,depot
lenuŋé,depot
tse,depression of an orphan
sẅì,depth
cú,depth
zẅì,depth
nkẅe pwó,deputy
lùŋ ncwò,deputy
letÿǒ,dermatitis
ngẅɛ̀ ndá,descendants
ngẅɛ̀,descendants
lesẅɛʼɛ́,descent
lìe ńdaʼte,description
lìe shwóŋ,description
nkùa mekwaʼá,desert
ńnyiŋe,desert
nzǎg ngě,deserted
ntèm menzsǒ,"designer, fashion"
ńguʼ,desire
ńtsɔ́ɔn,desire
ńkwoŋte,desire
ésáb,desire
mmɔ̀g,desire for good plate of food
ntsɔ̀ɔn,"desires, one who"
lecÿɔ́ʼ,desk
ńnege,despise
ńgege,despise
ńnẅile,despise
ńgwágte,despise
ḿmeen,despite
meen,despite
tsɛ̀ɛ kÿò ngyaŋa,despite
tegɔ̀ɔn melʉʼ,despot
pàŋ ntíŋ ntíŋ,dessert banana
nzsòte,destination
