en,ngiemboon
ńzɔ́ʼ,dribble
ńzɔ́ʼte,dribble
nzɔ̀ʼte,dribbler
ńziete,drift
ńnú,drink
mpfɛ̌,drinkable
nnù,drinker
melùʼ ndÿɔgɔ́,"drink, imported"
gʉ̌ tÿóon,"drinking, calabash"
ḿbyɛʼ,drink nobly
ésẅí,drink 
éshwoŋ,drive
ńkẅi,drive a nail
ńkẅite,drive a nail
ńkúe,drive back
ésẅi,drive in
éfom,drive in
éshÿɔ́g,drive in
éshʉ́ge,drive in
éshÿɔ́gte,drive in repeatedly
shwòŋo,driver
tsège,driving
nyɛ̀ʼnyɛ̀ʼ mbʉ̀ŋ,drizzle
éffote,drizzle
ńnyɛʼte,drizzle
tyàg,drop
tàb,drop
tɔ̌ɔn,drop
tsyàg,drop
ntse mekwò,drop
letàb,droplet
ésyɛ́ʼte,"droplets, come out in small"
tàb ntse,drop of water
zɛ́,droppings
zɛ́,"droppings, bird"
mpfèle mefòŋ,drover
