en,ngiemboon
nzẅɛté,vacation
ndʉ̀a,vagina
mátsɔʼ,vagina
magmag,vaguely
kélɔɔn,vain commentary
kékáŋ,"vain, in"
lɔ̀ɔnte,vain thing
méntsi ndá,valet
cÿɔ́ʼ ntɔ́ʼ,valet
cÿɔ́ʼfùɔ,valet of the king
fúʼ,valley
ncʉ̀ŋ,value
nzẅìŋ,value
ńgéʼe,"value, increase"
ńtém,"value, lose"
jÿɔ̀ʼ ,"""vampire"""
ndʉ̀m,"""vampire"""
tɔ̌g,"vampires, characteristic"
lʉ̀m,vampirism
tsɔ́ʼ nzèm,van
mbyàga,vandal
pyè mbyɛ́b,"vanguard, army"
ńdóŋte,vanish
ńdémte,vaporize
zẅɛ̌,vapour
pùmo ngɔɔn,varied
nò té tsẅe pàa,varied
éfaŋte,vary
ńkúbte,vary
lepʉ́a,vase of holy water
