en,ngiemboon
ncwòntse,"water, draw"
ńkú,"water, draw"
ńkwág,"water, draw"
tàb ntse,"water, drop"
ésẅaga,"water, have too much"
ndẅɛ̀,"water, holy"
pʉ̌ŋ pʉ̌ŋ pʉ̌ŋ,"water leaving calabash, sound"
ńtáb,"water, make cloudy"
ḿbiŋte,"water, make lukewarm"
pasetɛ́g,water-melon
lepwɔʼ ntsentse,watermelon
cǔm,"water, object falling into"
letiʼí ntse,water point
sẅísẅé pepaŋ,water primrose
mí,"water, river"
ncÿɔ̀ʼɔ,"water, shallow"
kwóŋ wɔɔn,"water, upstream"
melabá,"water, used"
lepʉ́a,"water, vase of holy"
ndùŋngwò leloŋó ntse,water velvet
ngùngwò leloŋó ntse,water velvet
ńcú,"water, walk"
ńtúm,"waterway, cross"
lefóon nŋwáʼ,wax
jʉŋé pʉ̀pÿɛ̂,"waxbill, black-crowned"
jʉŋé,"waxbill finch, sp."
pàŋ ncwò,"waxbill finch, sp. red"
ntí,way
lìŋe,way
