en,ngiemboon
ń-,he
e,he
é-,he
á,he
é,he
á,he
ḿ-,he
à,he
twó,head
ńtɔʼ,head
nkwɔ̀ʼ,headband
fùɔ tsìŋe ndá,"head, family"
lenoŋo twó,head hair
ńcʉa,"head, lose"
nkwɔ̀ʼ,"head, necklace worn around"
ńnyíʼi,"head, nod"
nnoŋ,head of hair
twó kǔ,head of the bed
tá ngwòŋ,head of the country
tándá panùŋe pwɔʼ,head priest
tándá panùŋe pwɔʼ,head sacrificer
twó légwe,"head, shaved"
ńzeŋe,heal
nkem ssé,healer
ngÿò meffo,healer
nzòŋ,healer
nzwě ssé,healer
zèŋe,healing
sẅétè,healing
tentʉ́,health
ésẅéte,"health, get back"
ésẅéte,"health, recover"
ńgáŋ,"health, recover"
tentʉ́,healthy
ńtentʉ́,"healthy, be"
nzsè,heap
ńjúʼ,hear
ńdʉʼte,hear each other
ḿbíge,hear each other
