en,ngiemboon
ncʉ̀ŋ nzẅìŋ,"ridicules, one who"
gʉ̀gʉ̀ʉ nò,ridiculous thing
ndee,right away
ndeen,right away
ńgẅiin ntoŋ,"right, be"
pwó tʉ̀,right hand
leleŋé,ring
lelʉŋé,ring
ńgye,ring out
ńdÿéen,rinse
ńcuʼ,rinse
ńcuʼte,rinse
ésẅag,rinse
tsyàgte,rip
ésiɛ,rip
tsàgte,rip
pevfǒ,ripe
vfǒ,ripe
mevfǒ,ripe
wevfǒ,ripe
yevfǒ,ripe
ḿvfó,"ripe, be"
ńgʉme,"ripe, be a bit"
ńcÿɔgte,"ripe, become"
ḿbʉŋe,"ripe, make"
ḿbaŋ,ripen
ḿbʉŋe,"ripen, let"
éfúʼ,rise
lezím,risen from the dead
ḿmʉ́,"riser, early"
kɔ́ɔn menʉ́,rising
mmó mbÿɔ́g,rising 
ményaŋ,risked
pfɔ̌g,"rite dance, k. cultural"
ntùʼ kěm,"rite, initiation"
ntùʼ kěm,rite member
