en,ngiemboon
láʼa ncÿɔ̀b,"skin disease, k."
máa sèm,"skin drumhead, nailed"
máa nkà,"skin drumhead, nailed"
kùb,skin 
múɔ sèm,"skin head, nailed"
ndèpàʼ pǐŋ,skink
mbèpà pǐŋ,skink
kubocʉ́d,"skin meat, cow"
nzìbe,skinner
ŋàŋa,skinny
lòŋo,skinny
kékɔ́gɔ,skinny
sẅì,skinny
tâshÿɔ́ʼ ndɔɔn,"skinny, short and"
ńkyeen,"skin, remove"
ńzib,"skin, remove"
ńkyɛ́te,skip
ńkyɛ́te,skip about
ńjʉŋte,skirt
ḿbaŋte,skirt around
ńkéle,skirt around
ḿbáʼte,skirt around
ńzéme,skirt around
vùb,"skirt during walking, sound"
zèzàb,"skirt, fibre dance"
ndù,skull
nzème twó,"skull, back"
sòŋ ndù,"skull, middle"
tÿǒ lepwó,sky
lepwó,sky
lefàŋ,sky
ḿpfo,"sky, rumble"
léŋ ndá,slab
nkàndɔ́ɔn peláŋ,slab
ndêg,slab
ńtáŋ ngú,slander
ngú,slander
ngàŋ ngú,slanderer
mbèshʉ̌a,slap
pwó légɔʼ,slap
