en,ngiemboon
lekẅè,bamboo 
tàʼ ndeŋ,bamboo 
ndʉŋ,bamboo 
ndeŋ,bamboo 
ńtúŋte,"bamboo, join"
yáŋ,bamboo leaf mat
nkyɛ̀,"bamboo, outside layer"
lekyɛ̌,"bamboo, outside layer"
pfwɔʼɔ́,bamboo pith
ńtúŋte,bamboo shutter
nkàʼ,"bamboo, split"
kwɔ̀ʼɔ ndʉŋ,"bamboo stool, k."
shʉ̌ʼ,bamboo stump
Mbÿɛ̌,Bamboue
mangwá,Bamboutos mountain
Sàŋa,Bamessingue
Sìŋa,Bamessingue
Megwǒŋ,Bamougong
shwóŋò pamom,Bamun language
nzse,ban
ḿbʉ́,ban
sèsyè ntʉ̀,ban
ńtɔʼ,ban
cʉ̀,banality
pàŋ ntíŋ ntíŋ,"banana, dessert"
ndóŋ,banana finger
ngwoon,banana 
lyága nkandi,"banana, green"
kwɔ̀gɔ,"banana leaves, tool cutting"
nzǎŋ,banana-log xylophone
nkandi nkʉ̌a,"banana, monkey"
málúʼ,banana plant flower
kwɔ̀ʼɔ ngwoon,banana plant stump
