en,ngiemboon
kèkɔ̀ɔn,"bread, corn-"
ńdáb,"bread, knead"
ńzẅaʼ,break
ḿbag,break
ńjẅaʼ,break
éshʉ́a,break
ḿbwɔ́ʼ,break
ńzwaʼ,break
ḿbwɔ́ʼɔ kẅí,break
máapàʼa,"breakdown, sand quarry"
nkùe,breaker
mbwɔ̀ʼte,breaker
mbwɔ̀ʼɔ,breaker
ḿbág létye,"breakfast, have"
ḿbÿɛ́te,break in
pfǎd,"break, quick"
ésaŋ,break the engagement
zẅɛ̀ʼɛ,breakthrough
ḿbwɔ́ʼte,break 
legù,breast
kʉ́kʉ́b,breast
mápfò,"breastfeeding her baby, mother"
ńdʉʼ lépʉ,"breastfeed, refuse"
lepʉ́,"breast, mammal’s"
ńzẅege,breathing
zẅìge,breathing
ńzẅige,breathing
sẅɛ̀ɛ,"breeder, stock"
sẅɛ̀ menɔ̀ɔn,"breeder, stock"
ndʉ̀ŋ melùʼ,brewer
mbelég,brick
tsǎʼ,brick
mbʉ̀,brick
lepwǒon ndá,brickwork
nzɔ̀ʼɔ,bridegroom
ntúm,bridge
ncwòntúm,bridge entrance
mbaŋlòŋ,briefs
nkwɔ̀ʼ,briefs
meŋwʉŋé,brilliant
