en,ngiemboon
ḿbeʼe,reserve
ḿvʉʼʉ,reserve
ńtsẅete,reserve
ńtsẅe,reserve
ḿbíle,reserve
tâŋ,reservoir
legÿɔ́bɔ ntse,"reservoir, spring"
ntʉ̀,resilient
ńgág,resist
ńtsẅiŋ,resist
nkoon kyɛ́d,"resonator, harp with tin-can"
ńkyáŋte,resound
ńkyáŋ,resound
ńgye,resound
mekùʼ,respect
gùʼte,respect
kwɔ̀gɔ nnɛ́,respect
ńná mekùʼ,respect
nkwɔbɔ́,respect
zɔɔn múɔ,respect
tsùb,"respect, hands clapping"
ńtsẅiŋ,"respect, lack"
mbà lóo,"respect, showing"
mbà,"respect, shows"
ńtsɔ́b,respond
ḿbÿɛ,respond
pÿɛ̌,response
piŋé,response
pilé,response
fùɔ má ntsɔ̀ʼ,"responsible, person"
máa nyìŋ,"responsible, person"
makwɔ̀ʼ,"responsible, person"
málekùmo,"responsible, person"
málekwɔ̀ʼ,"responsible, person"
lèʼe,rest
ńzẅɛte,rest
pfwɔ̀ʼ,rest
lezẅɛ̀te,rest
kẅìʼi,rest
ńzẅite,rest oneself
ńtoŋ,restore
ńdɔg,"result, obtain"
lezím,resurrection
ńzím,resuscitate
ḿbiŋe,resuscitate
sàba,retailer
sàbte,retail sales
ḿbyɛ́ʼte,retain a leaf
ńtsɔ́ʼte,retaliate
ḿbeŋe,retaliate
ńtsɔ́ʼ,retaliate
