en,ngiemboon
ńtséʼe,look to quickly leave
ńŋwɔ́ʼte,look up and down
lelíb,loop
ésẅe,"loose, get"
ńdíbte,loosen
ńdíbe,loosen
ésẅe,loose oneself
ndè,lord
ésɔ́ɔn,lose
ḿbyé,lose
ńgÿɛ́te,lose balance
ńdÿɔgɔ,lose consciousness
éfÿée,lose interest in
ńgwáʼa lÿɔ̀g,lose one’s concentration
ḿbyé,lose oneself
ḿbyéte,lose oneselves
ńcʉa,lose one’s head
ḿbyagte,lose one’s shape
ngàŋa pyé,loser
pyága gyé,loses his taste
ḿbyéte,lose sight of
ńkwa lejÿɔ́g,lose sight of
ńkwɔgte,lose strength
ńtém,lose value
ńdóŋte,lose weight
ńŋaŋ,lose weight
ńdẅéte,lose weight
pyé,loss
máshúa,"loss, blood"
pyè njÿó,lost time
