en,ngiemboon
kẅíkẅíle mekwò,waders
ńzáʼ nkwèen,wager
pìʼi,wagon
sésáŋ ngwóŋ,wagtail
sésáŋ ndùm ngwóŋ,wagtail
ntse legwé,wailing
ndʉʼʉ,waist
zẅɛ̌ʼ,waist size
ḿbyɛ́b,wait
ńzẅíʼte,wait
ńnyíbe nyibe,"waiting, move without"
ńgwóon,"waiting, without"
ńzyeen,wake up
ńgiŋ,walk
legúa,walk
legúɔ,walk
éshú,walk around
ńnyíŋte,walk a tightrope
ńkʉ́ʼʉ,"walk, go for"
ńgiŋte,"walk, go for"
ńcú,walk in water
ńtseen,"walk, lead"
ńtsyeen,"walk, lead"
ńgúɔ,"walk, take for"
ńgúa,"walk, take for"
ńtẅiʼ,walk with a stick
sǎg,wall
sagá ndá,wall
múɔ pɔ̀ɔn ŋwàʼne,wallet
nkwɔ̀ʼɔ,wall opposite entrance
ntsɛ̀ɛ,wallpaperer
ndyɛ̀ɛ,wallpaperer
tɔ̌ɔn,walnut
kásó,"walnut, African"
