en,ngiemboon
kwóŋ,"bat, guano"
kàlasôŋ,bathing slip
selîb,bathing slip
kàlasôŋ,bathing suit
selîb,bathing suit
vɔ̀g,"bat, house"
lesɔgɔ́,bathtub
lesɔgɔ́ nnɛ́,bathtub
ndàb,batik cloth
metuŋó vɔ̀g,bat’s ears
ndÿóon,"bat, Straw-colored fruit"
ńtsyágte,"batter, pour out"
ngwɔ̀ʼɔ,battery
nkèlʉ̀ʼ,bauhinia
ńzoonte,bawl
ḿbʉ́ŋ,bawl
Jû,Bazou
mé zyé Yěsô,B.C.
ńkɔʼɔ́,be
ńgwɔ́,be
ńgwɔ́ wó,be
ńkɔ̌,be
ńgwɔ́,be able to
lelʉ̀ʼʉ twó,beam
lekʉ̀a,beam
nèm meshʉa,beam of sunlight
làŋ,"bean aphid, black"
shÿɔ́ʼ,"bean, fish"
mekú,bean 
ésyag,"bean pod, remove"
ésyag,"bean, remove the pod"
mbyè mekú,bean seed
kàpìd,"beans, ground"
