en,ngiemboon
ńdyeente,transmit
ńdyeen,transmit
ńdéŋe,transport
ńdʉ́ŋe,transport
ńgwoon,trap
lejÿɔʼ,trap
cúa páb,"trap, k."
ndʉ̀ʼ menkÿo,trapper
ńgʉa legìŋ,travel
ngàŋ legìŋ,traveller
túm,"travels, place"
kwɔ̀bɔ pàʼa,traverse beam
ntàŋ,treason
ntàŋa,treason
fùʼ,treasure
ndèʼe nkáb,treasurer
ḿbá,treat
ńzoŋ,treat
tÿǒ zoon,"tree, African pear"
mafúfuʼú,"tree, African tulip"
mafúʼ,"tree, African tulip"
gwèle sẅɛ̀ʼɛ,"tree, boundary"
tÿǒ pÿè,"tree, camwood"
ḿbɔɔn,"tree, climb"
sêm,"tree falling, sound"
lẅɛ̀,tree-frog
tÿǒ,tree 
tÿǒ ngelávù,"tree, guava"
fàŋ,"tree, jute"
tÿǒ màndalîn,"tree, mandarin"
tÿǒ máangwèle,"tree, mango"
