en,ngiemboon
ssé ndá,"house, floor"
ndá nzse,"house, forbidden"
ndá Ssé,house of God
mánʉnʉʉ ,"house, one who craps in"
nkwɔ̀ʼ ndá,"house, part"
nkwɔ̀ʼɔ,"house’s entrance, wall opposite"
méndá,"house, small"
nkàŋa ndá,"houses, row of"
nkàŋ ndá,"houses, row of"
ndá ndêg,"house, two-storey"
nzɔ̀g mbʉ̀a,housewife
pàʼa,hovel
kɔ̀ʼte ndá,hovel
pàŋ ntsẅɛ̀ʼ,hoverfly
pepàŋ ntsẅɛ̀ʼ,hoverfly
lùmo tʉ̂atʉ̂a,hoverfly
lêkɛ̂,how?
páʼa,how?
lêkɔ́,how?
á lekɔ́,how are you?
ńgaa,how do you do
tà ńgaa,how do you do
légǎ là,how do you do?
ńtsɛ,however
ńdíʼ,howl
yéshÿɔ́ʼɔ,how many ...?
péshÿɔ́ʼɔ,how many ...?
séshÿɔ́ʼɔ,how many ...?
méshÿɔ́ʼɔ,how many ...?
wéshÿɔ́ʼɔ,how many ...?
éseŋe,"huge, be"
sẅɛ̀ɛ kʉ́kʉ́b,hugger
ńkʉ́b,hull
ńkʉ́bte,hull some groundnut pods
nyìŋ mesoŋ,human being
pʉ̀a mesoŋ,human beings
