en,ngiemboon
nzyě,introduction
nzyeté,introduction
nzyè nò,introduction
mbǎʼ,intruder
gʉ̀ŋe ńkÿɛ́,invader
ńkwaŋte,invent
ḿbid,invert
nɔ̀ɔn tekẅǐ,invertebrate
ḿbáte,investigate
ńtsaʼ,investigate
ńdúʼte,investigate
mbɔ̀ɔn,investor
lùm nkɔ́ɔn,inveterate
ńzɔɔn ńgwaa gwɔ́,in view of that
tekúe,invincible
gú,invitation
ńdye gʉ̀,"invited one, receive"
ńgú,invite to
ssé lejÿɔ́g,iris
matétě,Irish potato
matě,Irish potato
tʉ̌,iron
kẅíʼ fùɔ,"iron clapperless bell, double"
ńcÿo,iron clothes
hányàŋ,iron 
tÿèen,iron 
tÿè,iron 
ḿbʉŋte,"ironic, be"
ndolé,ironweed leaves
lekáŋ,"ironweed, sp."
gúlaandɔɔn,irony
mbʉ̀ŋte,irony
ntsyɛ́,irony
nɔ̀ɔn temaʼ,irrefutable
