en,ngiemboon
ésaŋ,dry something out
Tsaŋ,Dschang
kwɔ́g lelúʼ,dubious
kẅâŋkẅâŋ,duck hooting
kwɔ̀g kwɔ̀g,duck hooting
kuʼú ntse,ducksalad
páŋ,dugout canoe
kanúʼ,dugout canoe
tsẅé nɔ̀ɔn,"duiker, common"
métsẅè,"duiker, sp."
ńdebe,"dull, be"
ńtsẅaga,"dull, be"
ńtsẅaga tsẅaga,"dull, be"
ntsàʼ mbǔʼ,dumb
mbùʼ ncwò,dumb
tàmbǎʼ,dumb
mekʉ̀ŋe,dung
kʉ̀ŋe,dung
máfǒŋ nzɛ́,dung-beetle
ntyě,duration
fʉ̀ʼʉ nèm kénáŋ,dusk
ńtɔg,dust
ńcúate,dust
ńjÿɔgte,dust
ḿbyága pfɔ̌b,dust
pfepfɔ́b,dust
ńcúate,dust
legwaʼá kʉ̀ŋe,dustbin
mbwɔ̀b nzɛ́,dustbin
vèle,dust cloth
mbyàga pfɔ̌b,duster
éfúʼ,"dust, rise"
ńtuʼ,"dwarf, be"
mbèlûm,dye
mbìlûm,dye
kwè,dying
lefùɔ,dynasty
pùʼu metuŋó,dysacousia
jʉʼʉ kwɔ́ʼ,dysentery
