en,ngiemboon
lezǐ,lot
kwɔ̀g metsẅiŋ,"lot, bad"
metwò,"lot, bad"
tɛʼ,lot of
gyɔ́ɔn,lot of
légʉ́a,lot of
lepwɔʼ kʉ́kʉ́b,"lotus, African tiger"
ntaŋ,loud speaker
ntaŋ,loud speaker
ndalÿò,lounge
fala nda,lounge
fúɔ,louse
nkwòŋe,love
ńkwoŋ,love
ńkwoŋe,love each other
ńkwɔg,lower
ńnẅɛ,lower
sẅíʼi nzẅìŋ,lower
ńkwɔgte,lower
ḿpfo,low-pitched sound
tsẅíŋ,"luck, bad"
njǔ,"luck, bad"
sí,"luck, bad"
kùbo ngɔ́ɔn,"luck, bad"
pʉpʉ̀,"luck, rotten"
shÿó mbòŋo,lucky
ndùmbòŋo,lucky
ngàŋa fùʼ,lucky
ńgẅiin ntoŋ,"lucky, be"
éfuʼ,"lucky, be"
ńzẅɛ́ʼte,"lukewarm, become"
ḿbiŋte,"lukewarm, make"
ndye múɔ,lullaby
pìŋe lé nzèm,lump
ńdule,"lump, obvious"
gʉ̀gʉ̀,lunatic
ḿbág létye,"lunch, have"
lekyě,lye
ńtáʼte,"lying, be"
ńdeʼe ngʉ̀ngʉ̀,lynch
ńdeʼe ngʉ̀ngʉ̀,lynch
