en,ngiemboon
ḿbú,wander
ńgiŋte,wander
ńgwóte,wander
ńká,wander
ngùngwò leloŋó kʉ́,wandering Jew
ndùŋngwò leloŋó kʉ́,wandering Jew
ńkɔ̌,want
ńkwoŋ,want
ńkeʼé,want
ńkɔʼɔ́,want
ńkwoŋte,want
ńŋʉ́ʼte,want to carry
ńtséʼe,"want to stay, not"
ncù,war
ńtíʼte,ward off
cʉ̀me,warehouse
lenuŋé,warehouse
mòon ngékule,war fatigues
ńdÿɔ́ʼ ncù,"war, fight"
legẅi ncù,"war, hot spot"
ḿbáb,warm
ńtween,"warm, be"
ńdum,"warm, be"
ńzẅɛ́ʼte,"warmer, grow"
lyɛ̀bte ncù,warmonger
ńzɔ́g,warm someone
ńzɔ́g,warm up
ńtween,warm up
ńtswáʼ,warm up
ńzáʼ njÿó,warn
ńkága tuŋó,warn
ndÿɔ̀ʼ ncù,warrior
ndÿɔ̀ʼɔ,warrior
pùʼu ncù,war slave
lÿoon ncù,"war strategy, k."
lezse,wart
lezye,wart
kúnɔ̀ɔn tsẅɛ,warthog
ńdaga twó,"wary, be"
ésɔg,wash
