en,ngiemboon
ssé,emphatic progressive aspect
zɔ,emphatic subject
zɔɔ,emphatic subject
ńdɔg,employ
ngàŋa pàmbè,employee
ndɔ̀gɔ ngàŋa fàʼ,employer
fɔ̀gɔ,empty
ńjwéen,empty
sẅɛ̀ɛ,empty
sẅɛ̀ɛ,empty
ńtsíte,empty 
nkwòŋo tsẅɛ,empty plot
ndyɛ̀bte,enchant
ńtíʼte,encircle
ńkẅiŋte,encourage
lesìŋte,encouragement
ndɔɔn ndɔɔn,encouragement
ngɔ̀ɔnte,encouragement
lecʉ́a,end
mecʉ́ŋ,end
nzsoté,end
letwó,end
guɔ pàga láʼ,endemic disease
twó tekwò,end of a toe
ndù,end of a yam
lekẅí,end of shoulder
ndòŋ mezẅé,end of the nose
sẅísẅíi,"end, pointed"
métwó,"end, small"
ńgube,end up
ngʉ̀b,enema pump
ngàŋ mbù,enemy
mbèlenjʉ̂ŋ,energy
mbàlasí,energy
ésaŋ,"engaged, fail at getting"
