en,ngiemboon
tẅɛ̀,cleanliness
katẅɛ̀,cleanliness
ńjÿɔg,clean off
ńtoŋte,clean out
ńtoŋte,clean out ear dirt
ńneme,clean out one’s ears
tsâb,"clean, very"
kâb,"clean, very"
ésyeen,clear
ńzyɛ́b,clear
ńcúe,clear
ńkag,clear
ésyɛ́ʼ,clear a field
ńzyɛ́b,clear away
ńdʉ́a,"clear, be"
ńdíɛ,"clear, be"
nkwɔ́b,cleared weeds
tsâb,"clear, very"
ntɔ́d,"clear, very"
gáʼa mevɛ́,"clearweed, Deam’s"
mbǒŋ lóŋ,clemency
ḿbúʼ ncwò,click one’s tongue
njùu,client
kòon,cliff
fèŋe fÿag,climate change
ḿbʉpʉ,climb
ḿbʉ,climb
ńkwɔ́ʼ,climb
nkwɔ̀ʼɔ,climber
mbʉ̀ʉ,climber
ḿbɔɔn,climb 
ngùngwò leloŋó,clinging aneilema
ndùŋngwò leloŋó,clinging aneilema
nzoon mákẅìʼ,clinging aneilema
ńzab,clip
ŋwʉ́ŋ,"clock, sound"
ntsyɛ̀ʼ,clog
