en,ngiemboon
lème,pollution
tâŋ,pond
saŋá lÿoon,ponytail
zɛ́,poo
pile,poor
éfÿag,"poorer, become"
ńgyɔ́ɔn soon,poorly held
ńgyɔ́ɔn soon,poorly maintained
tekʉ̌a ńkáŋ,poor man
mbwó twó,poor person
mbóŋ,poor person
mbǎʼ nyìŋ,poor person
fÿàg,poor person
temmó,poor person
fÿɔ̀g,poor person
gyà ngɔ́ʼ,poor soul
ngàŋ ngɔ́ʼ,poor soul
nzàba mentÿǒ ngum,porcupine
pɔ̌ɔn kʉ̀ŋe,portal
paa nkàʼ,porter
nkàa,porter
ndyɛ̀bte,porter
pÿěpÿě,porterhouse
nkɔ̀ʼ,portico
kɔ̀ʼ,portico
ncʉ̀ŋ,portico
lezẅɛ̀te,pose
ńtyéte,"position, take a"
ńgẅiin,possess
ntùbo,"possible, something beyond"
ntóon,post
jÿɔ́ʼɔ,poster
ńtsɔ́ʼɔ lyɛ̌ʼ,postpone
sɔ́ʼ,pot
lekʉŋ,pot
lepʉ́a,pot
mvemváŋ,potash
