en,ngiemboon
pwó tʉ̀,"hand, right"
ḿbúʼ mbwó,"hands, clap"
páb,"hands clapping, sound"
tsùb,"hands clapping, sound"
ḿbáʼ,"hands, fold"
ḿbáʼte,"hands, fold one’s"
ńkyɛbɛ pwó,"hand signal, call by"
tepwó,"hand, without"
ntsẅɛ̀ʼ ntèbe,handyman
ntàb,hangar
ńdyɛb,hang from the shoulder
ńcʉ́ŋte,hang here and there
ńkile,"hanging, be"
ńnyíŋe,hang on to
ńcʉŋte,hang untidily
lepòŋ,happiness
shÿó mbòŋo,happy
ńjúʼ mboŋó,"happy, be"
ńgẅíŋ,harden
lùm nkɔ́ɔn,harden
ńkẅíʼ,harden
ńtiŋ ndʉ̀ʼ,harden
ńtiŋ,harden
ńtʉa,harden
cÿɔ̀gɔ,hardened 
ńkum,harden oneself
ḿmeen,hardly
síʼ,"hard, very"
ncʉ̀a,"hare, scrub"
ńtsẅíʼ,harness
ńkúe,harras
