en,ngiemboon
ńkúe,harry
ńdag,harvest
ńdag shúm,harvest
lelàg shúm,harvest
ḿbwɔ́ʼ,harvest corn
ndàba,harvester
ńkáb,harvest fruit
ngwɔ̀ʼ mbÿɛ́,harvest time
ńtúŋ,harvest tubers
ńtúŋte,harvest tubers
ndúm ngʉngʉ́ŋ,haspan flatsedge
sẅɛ̀te,haste
ńgége nnɛ,hasten
ńgége,hasten
ńzyág,"hastily, dress"
cÿɔ̀ʼ,hat
éshʉ́a,hatch
ḿbʉa,hate
ńnyiŋe,hate
ńkuɔ mbù,"hate, feeling"
ńkua mbù,"hate, feeling"
ńcʉa,"hate, feelings"
cÿɔ̀ʼɔ melÿò,"hat, k."
cÿɔ̀ʼɔ njùʼ mentÿǒngúm,"hat, k."
téŋ,"hat, k."
cÿɔ̀ʼɔ ssénkàg mendoŋ,"hat, k."
cÿɔ̀ʼɔ ssénkàg,"hat, k."
shʉ́alaŋ,"hat, k."
cÿɔ̀ʼɔ menzóŋ,"hat, k."
cÿɔ̀ʼɔ shʉ́azí,"hat, k."
cÿɔ̀ʼɔ mendóŋ,"hat, k."
cÿɔ̀ʼɔ kwaanzeennzse,"hat, k."
cÿɔ̀ʼɔ kùbe ncwò,"hat, k."
cÿɔ̀ʼɔ sí meŋwáláʼ,"hat, k."
tʉ́ŋ,"hat, k."
kwaanzeennzse,"hat, k."
njùʼ,"hat, k."
cÿɔ̀ʼɔ cʉ́ŋ,"hat, k."
cÿɔ̀ʼɔ mbúm,"hat, k."
síi melʉ́a,"hat, k."
twókɔ̀ɔn,"hat, k."
kùbo nzeen nzse,"hat, k."
nkàg,"hat, k. black"
cÿɔ̀ʼɔ sí mefùɔ,"hat, k. chief’s"
cÿɔ̀ʼɔ melʉ́a,"hat, k. white"
mbù,hatred
cÿɔ̀ʼɔ legwóŋ,"hat with a large brim, k."
ńgẅiin,have
ńkɔ̌,have to
ńkeʼé,have to
ńkɔʼɔ́,have to
tàagwánká,hawker
