en,ngiemboon
pfɔ̌g,widowhood
cùʼupfɔ́g,"widow’s ceremony, goat for"
levɔ́g,width
pwó gém,wife
manzwě,wife
fɔ́g,"wife, co-"
ntse,wife’s father
nkandi nkʉ̌a,wild banana
jʉ̀jÿó ndÿɔgɔ́,"wild cape gooseberry, slender"
vɛ̀,"wild, cat become"
nkandi nkʉ̌a,wild enset
lepʉ́múɔ tsẅɛ,wild poinsettia
túʼtoŋ,wild tea bush
pòŋo ntʉ́m,will
shʉ̀ŋ,"willow basket, k."
ńdoŋo,wilt
ńkẅáŋte,wilt
ńgẅáŋte,wilt
ńjÿó,win
ńjÿó,win
fèfà,wind
ńtẅíte,wind
ńŋwɔ́ʼte,wind
mvèmvfò,windbreaker
tẅítè,winding
lekèle,winding
tɔ̀gɔ nkyɛʼ,window
wúndù,window
fènɛ́tèle,window
vwɔ̀ʼɔ,window shutter
nkàte,"winds, one who"
fóm,"wind, strong"
sẅèen,"wind, strong"
ńkáte,wind up
ńŋwɔ́ʼte,wind up
melùʼ,wine
