en,ngiemboon
mafúfuʼú,African tulip tree
mafúʼ,African tulip tree
kásó,African walnut
cúa,"African yam, sp. West"
júʼu féfɔ́gɔ,"African yam, sp. West"
júʼu kwéʼe tÿǒ,"African yam, sp. West"
pÿɛ̀,"African yam, sp. West"
júʼu sẅìŋ,"African yam, sp. West"
júʼu ngwá,"African yam, sp. West"
júʼu zigé,"African yam, sp. West"
cʉ́ʼ,after
tà á kuʼ,after
ḿbiŋ,after
ńcʉ́ʼ,after
mé gÿo ńzyé Yěsô,after Christ’s death
ḿbiŋ,"after, come"
ḿbiŋ,"after, do"
mbÿɛ̀ njÿó,afternoon
sẅe sẅé,again
ńgíŋ,again
ńnyé,again
ndʉʼʉ́ndʉʼʉ́,against
sáasekɔ̀b,"agama, common"
kùkwòon,agama lizard
nzẅiŋ ngùʼ,age
ńcÿɔgte,age
manzòŋ,age group
kwò nkàŋ,age group
ngàŋa fàʼ,agent
nkwɛ̀ɛ,"agent, development"
lÿò,"age, old"
ńnʉʼ,aggravate
ńnɔʼ,aggravate
ńgéʼe,aggravate
ńnẅile,aggravate
ńnẅɛ,aggravate
ésẅi,aggravate
ńnʉʼte,aggravate
tánɔ̀ʼɔ,"aggravates, one"
ngàŋa tág,aggressor
ḿmiʼte,agitate
ńgwɔ́g jʉʼ,agitate
ńcʉʼte,agitate
mbʉ̀ŋte,agony
ńjúʼe,agree
nzẅìŋe,"agrees, someone"
mvfò,ahead
mvfò,ahead
