en,ngiemboon
makósǎ,knitting
ńkʉ́bte,knock
ńkwáʼte,knock at the door
cùɔ nzẅé,knocker
cùa nzẅé,knocker
ńtsẅiŋte,knock gently on a door
ńtsyɛ́te,"knocking, keep"
ńtsẅiŋte,knock on a door
ńgÿɔ́bɔ,knock on someone’s head
nkùd,knock-out
ntùʼ lekàŋ,knock-out
ńcúa nzẅé,knock out by hitting with a stick
ńcúa nzẅé,knock out by hitting with a stick
ńdwáʼ,knock strongly
ńgwɔb,knot
lezyɛ̌,knot
lejÿɔgɔ́,knot
ńcwóŋ,knot
lejwoŋó,knot
ńzsé,know
ńzséte,know each other
lezsě legÿò,know-how
ńtsẅɛ,"know how to dance, not"
óon gòʼ,"know, I don’t"
zsétè,knowledge
ésáʼ,"known, make"
ńzséte,know oneself
kàkẅì,knuckle
ńgÿɔ́bɔ,"knuckle, knock head"
nkùd,k.o.
ntùʼ lekàŋ,k.o.
saŋngalé,kola caterpillar
lepfo,kola nut
