en,ngiemboon
ńtsye,"pieces, cut in"
éshʉate,"pieces, tear"
ŋʉŋÿá,pied crow
ŋeŋɛ́,pied crow
ḿbyag,pierce
ńtɔ́g,pierce
ḿbuʼ,pierce
ńzẅɛʼɛ,pierce
ńtɔ́gte,pierce all over
ńtɔ́gɔ,"pierced, be"
ńzẅɛʼ,pierce 
éshʉʼte,pierce small holes
kúnɔ̀ɔn,pig
kàpʉ̀ŋ,"pigeon, afep"
kàpʉ̀ŋe mbÿě,"pigeon, green"
kab,pigsty
kì,pigsty
nzsè,pile
cwóŋ,pile
lekaʼá,pile
ncùa,pile
ncùɔ,pile
lepfɛ́,pile of filth
nkwɔ́b,pile of weeds
ḿbaʼte,"piles, make"
ńŋéen,pile up
ńcúʼ,pile up
ńcúʼte,pile up
ńnɔ́g,pile up
ńnɔ́gte,pile up
ńŋɔ́ɔn,pile up
ńkʉŋe,pile up rubbish
mbàŋa ffo,pill
ńtúʼ,pillage
mankẅíŋ,pillager
gʉ̀ŋe ńkÿɛ́,pillager
tòon twó,pillow
tsège,piloting
lekẅèle,pin
lekẅìle,pin
kwéntum,pincers
