en,ngiemboon
nzab sẅísẅé,"amaranth, spiny"
fólóŋ,"amaranth, spiny"
sẅísẅé menzoŋ,"amaranth, wild"
ḿmóm,amass
ńtúʼ,amass
ńgwʉ́ŋte,amaze
mamèkěm,ambassador
ńŋéʼe nò,"ambition, have"
mmóm,ambitious
ntʉ́me nò,ambitious
ńzáʼte,"ambush, prepare"
ngwɔ̀ʼ,amp
gùgùbo,ample
ngwɔ̀ʼ,amplification
lùŋ ngyè,amplifier
ńcÿó ngwɔ̀ʼ,amplify
tekwò,"amputee, foot"
éfÿéente nÿɔ́g,amuse
ńkyáŋte,amuse
ńtsẅite,amuse
ńkyáŋ,amuse
ńgáŋte,amuse
legyé,amusement
pǒŋ ménò,amusement
pelé,amusement
kwàŋ,amusement
megʉa,amusements
ḿmaʼa kwàŋ,amuse oneself
ḿbaʼte,analyse
mángʉa njʉ̀ʼ,ancestor
ngàb ngẅɛ̀,ancestor
mángɔɔn njʉ̀ʼ,ancestor
tánkáb,ancestor
né,and
lé,and
pâ,and
lâ,and
mbɔ̌,and even
mbɔɔ,and even
ngùngwò leloŋó,"aneilema, clinging"
ndùŋngwò leloŋó,"aneilema, clinging"
nzoon mákẅìʼ,"aneilema, clinging"
zoon tsɔʼɔ́,aneilema fruit
ngùngwò leloŋó kwɔb,"aneilema, sp."
tsɔʼɔ́,"aneilema, sp."
ndùŋngwò leloŋó kwɔb,"aneilema, sp."
