en,ngiemboon
kège,discord
cÿɔ́g,discord
ńkuɔ mbù,"discordant, be"
ńkua mbù,"discordant, be"
ńtsẅiŋe lɔ̌ɔn,discourage
ńtsyɛte nnɛ́,discourage
tsẅìŋe lɔɔn,discouragement
ntsẅiŋe lɔ̌ɔn,discourager
ńkyɛte,discover
ńkem nzse,discover
ńkem,discover
ḿmuʼ,discover
ńnẅɛʼ,discover
ńnáʼte,"discreetly, move"
ńtéen nkʉŋ,discriminate
ńtuŋ metuŋ,discriminate
ńtíɛ metuŋ,discriminate
tùbte,discrimination
metuŋ,discrimination
ńzoŋ,discuss
cÿɔ́g,discussion
zòŋ,discussion
ngwɔgɔ́ lefaŋ,disease caused by thunder
guɔ pàga láʼ,"disease, endemic"
sàʼ,"disease, k."
mùʼ mbùm,"disease, k."
záʼntɔ́ɔn,"disease, k."
shʉ ngyǎŋ,"disease, k."
twó ngyǎŋ,"disease, k."
tème ntɔ́g,"disease, k."
kekwɔ́g,"disease, k."
ngẅi lelaŋ,"disease, k."
hége,"disease, k."
shʉ́shʉm,"disease, k."
lùŋo,"disease, k."
lepyè,"disease, k. plant"
pyè ntʉ̀,"disease, k. plant"
lekwà ndɔɔn,"disease, k. potato"
ngwɔgɔ́ lefaŋ,"disease, k. skin"
láʼa ncÿɔ̀b,"disease, k. skin"
ńkyag,disembowel
jwòŋmbì,disfigured child
nzìbte,disgrace
sóon,disgrace
pʉ̀e lóŋ,disgust
jÿó,dish
pàga káŋ,dish
ńníag,dishonour
ńníagte,dishonour
kàcÿò,"dish, potato"
págalág,"dish, sound"
