en,ngiemboon
mékɔ́ɔn ntse,navy
tsɛ̀ɛ tekwòŋ nkwoŋ,necessarily
ńdaʼ páʼ,necessarily
lóŋ,neck
nzèm lóŋ,"neck, back"
toŋó,neck 
mmɔ̀g,"neck, desire"
tùʼ ndéle,necklace
málegwàʼ,necklace
tàʼ shúm,necklace
cʉ̀a,necklace
njʉ̀gʉtáa,necklace
nkwɔ̀ʼ,necklace worn around the head
ḿmɔgɔ,"neck, move one’s"
nzème twó,"neck, nape"
nzèm lóŋ,"neck, nape"
lʉ̀m,necrophilia
lesyɛʼɛ́,needle
njwòŋ lesyɛʼɛ́,"needle, hole"
lesɔb,"needle, shoemaker"
éen èen,"negation, marking"
lekyɛ̀bɛ,negative
ńgwágte,neglect
nzǎg ngě,neglected
ńdʉʼte,negotiate
ńgiŋ kěm,negotiate
kěm,negotiation
ngìŋ kěm,negotiator
mamèkěm,negotiator
mekěm,negotiators
ssé nyìŋ,negro
ngàŋ nkwɔʼɔ́ lépàa,neighbour
tÿɔ́ʼte,neighbourhood
