en,ngiemboon
púʼu,like that
pɛ́ʼɛ̀,like that
pɛ́ʼɛ̀,like that
páʼa,like that
mbɔɔ púʼu,"like that, even"
páʼɔɔn,like this
sitolóŋ,lime
mbwǒon,lime
ntsẅɛ́,limit
ndège,limit
ndÿò,limit
lepàa,limit
ńkÿɛ́,limit access
ńŋʉ́ʼʉ nò,"limits, don’t accept one’s"
ńnyíʼi,limp
ńkɔʼɔ,limp
nkɔ̀ʼɔ,limper
nkèkàŋa,line
nkàŋ,line
ńtÿɔ́g nkàŋa,"line, put"
ńkʉate,"lines, draw"
nkàŋa,"line, traced"
ńtáŋa,line up
ngiembɔɔn,linguistic group
ntúm,link
là,link
púʼ,lion
múɔ púʼ ntʉ̀,lion cub
kùb,lip
kùbo ncwò,lip
sísí,lipid
ḿmÿɔb,"lips, eat"
melùʼ ntʉtʉ,liqueur
ńdeŋ,"liquid, collect"
ńdʉŋ,"liquid, collect"
ńtsíte,"liquid, empty"
ńtáb,"liquid, make cloudy"
