en,ngiemboon
fʉ̀ʼʉ,measurer
fʉ̀ʼʉ mmó,measuring system
mbab,meat
kubocʉ́d,"meat, cow skin"
kìm,"meat, piece"
lekɔʼɔ́,"meat, piece of"
tàŋa mbab,meat tendon
makánè,mechanic
pàga tákʉ́ʼ,medal
sòŋ nkàʼ,medial dorsal
nkwoŋo ffo,median
kěm,mediation
ngìŋ kěm,mediator
mamèkěm,mediator
ndè nkěm,"mediator, chief and notables"
ffo,medicine
mbyě,"medicine, essential ingredient"
ntsɔ̀ʼ ngɔ̌ɔn,medium
tÿǒ mandâm,"medlar, common"
shwóŋò ngáŋtʉɔʼ,Medumba language
ńgúate,meet
ḿbumte,meet
ńgúɔte,meet
ndeʼé,meeting
lèʼe,meeting
píge,meeting
lepigé,meeting
cúʼtè,meeting
lelèʼe,meeting
ndá lemù,meeting room
ḿbumte,meet with
mɔ́ɔn,"me, for"
ngyè zɔ̀b,melody
