en,ngiemboon
lepyè,"rot, root"
pyè ntʉ̀,"rot, root"
ḿbue,rot someone’s brains
selʉ̌,rotten
welʉ̌,rotten
lʉ̌,rotten
yelʉ̌,rotten
pelʉ̌,rotten
pʉpʉ̀,rotten luck
ńdúʼte,"rough, be"
ésɔbte,"rough, be"
éshʉŋ,roughcast
nkènkélè,round
lekélè,round
nkènkèle,round
ńzéme,"round, be"
ḿbume,"rounds, go on one’s"
ntáʼ,"round things, long"
ŋwa,"roundworm, giant intestinal"
nkàŋ,row
nkàŋa ndá,row of houses
nkàŋ ndá,row of houses
ntɔ́ʼ,royal
sèm ncwò,royal army
nzèmɔɔn,royal court
tafùɔ,royal nomination
mɔ́ɔn fùɔ,royal nomination
mɔ̌ɔn fùɔ,royal nomination
ndyè fùɔ,royal nomination
tafùɔ móonpúʼ,royal nomination
nzòŋ,royal police
lefùɔ,royalty
ńzíʼte,rub
éshʉ́ʼʉ,rub
ńgwɔ́gte,rub
kẅèen,rubber for cleaning
nkẅèen,rubber for cleaning
ndálè,rubber vine
lenuŋé,rubbish dump
ńkʉŋe,"rubbish, pile up"
kʉankàŋ,rule
