en,ngiemboon
cʉ̀cʉ̀ŋ,"child, very small"
kántoŋ,child with a naval wound up
tsyɛ̀ɛ múɔ,child without family planning
sésɔg,"chili, birdseye"
shʉ́shÿóndÿɔgɔ́,chili pepper
pùavolóŋ,chili pepper
tɔ̀gɔ ndyé,chimney
ndìŋe,chimpanzee
lʉʼté,chin
lefÿɔ̀g,Chinese bamboo
lefÿàg,Chinese bamboo
gwà,chisel
mbùʼ,"chisel, cold"
ńzso,chock
zɔ̀bɔ ntse,choir
éfómo,choke
kǔa,cholera
ńgwó,choose only one
ńtsyete,chop
nkyɛ̌ mbì,chop
kíkyé,"chops, spongy bone"
njÿɔ́g,chore
ńkaŋ,chose
mé zyé Yěsô,"Christ, before"
kelétè,Christian
kelésemî,Christmas
ntèntàŋ shʉ̀ŋ,Christmas bush
mé gÿo ńzyé Yěsô,"Christ’s death, after"
