en,ngiemboon
ffo,leaf
letèkǔʼ,"leaf, cocoyam"
letòkǔʼ,"leaf, cocoyam"
ncʉ́agwág,"leaf, cowpea"
gwága mekú,"leaf, cowpea"
ḿbyɛ́ʼte,"leaf, fold"
fipà ngalásè,"leaf, lemon"
ngòon yáŋ,"leaf, mat"
ḿbyɛ́ʼte,"leaf, retain"
letèkǔʼ,"leaf, taro"
letòkǔʼ,"leaf, taro"
ńnyɛ́ʼte,leaf through
ńkwɔgɔ,leak
ŋàŋa,lean
ńtéŋe,lean
ńtʉ́ŋe,lean
ńgʉ́ŋe,lean
méntsẅǐ,lean
lejʉʼʉ́,lean against
ńjʉ́ʼe,lean on
ńjʉ́ʼe,lean on one’s elbows
ńjʉ́ʼe,lean with one’s back on
ńzíʼi,learn
ńtswáʼ,learn by repetition
njùʼu,learner
nzìʼi,learner
mênkʉ́ fàʼ,learner
pɔ̀ɔn ngùb,leather sack
ńdo,leave
ńnyé,leave
ńtsẅé jʉʼ,leave
lɔ̀,leave
ńkyag nyé,leave
ńgʉa,leave
ńkyɛɛ ńnyé,leave
lwò,leave
lò,leave
ńkẅɛ,leave
tsẅiŋ,"leave, absent without"
ńtséʼe,"leave, look to quickly"
leffo tÿó,leaves
meffo tÿó,leaves
nzab meffo kasálà,"leaves, cassava"
ńkíŋte,"leaves, cut"
