en,ngiemboon
tà,until 
pǒŋ ménò,unusual
ńkyag,unveil
ńŋwɔ́ʼte,"up and down, look"
ńdu ssé,"up, get"
ńdu,"up, get"
ndùmo kwò,"upper, shoe"
ndùm melɔ̌ɔn,"upper, shoe"
ésiŋte,"upright, set"
ésɔgɔ,"upright, set"
ntsɔ́ʼ,uproot
ńkwo,uproot
ntsɔ̀ʼɔ,uprooter
sàʼa,uprooter
ntsɔ̀ʼte,uprooter
shwòŋ ntsɔ́ʼ,uprooter
ńgiŋte,"upset, be"
ńzwaʼ,"upside down, turn"
kwóŋ,upstream
kwóŋ wɔɔn,upstream water
ńnʉʼʉ,"up-to-date, be"
ńtsi,urinate
letsì ntʉ̀,"urinating, difficulty"
ntsìntsì,urine
wég,us
ńtʉa,"used to, get someone"
ndyèen,useful
tèkǔ na nò,"usefulness, without"
tendyèen,useless
tèkǔ na nò,useless
ntsège mezàʼ,useless delivery man
ńguʼu,use to console oneself
mégè,"us, for"
