en,ngiemboon
ntà,macabo flower
nně,machete
cyág,"machete cutting, sound"
nně sàmbà,machete de dance
ngwà nně,machete handle
ngwɛ̌,machete handle
mashʉ́ŋ,machine
tèkùʼu nò,mad
nkem ssé,mad
ndèndʉ́m,Madagascar cardamum
pʉ̀a,madman
nkuzsò,"maggi, African"
ntẅi ntẅɛ,maggot
lekàŋ,magic
ńtwó,magically curse
sòŋ,magical theft
tàa ntúʼ lwóŋ,magician
ngàŋ lekàŋ,magician
mbyě,magic spell
ngɔ̌ɔn,magic stone
lyɛ́bte,magnetism
lepòŋ,magnificence
kwàʼ mboŋó,magnificent
lepòŋ,magnificent
ngàb ntʉ̀,maguey
kwɔ́g,maid
ńtsẅíʼ,maintain
ńgyɔ́ɔn soon,"maintained, poorly"
meen ngẅiin,maintenance
