en,ngiemboon
nzẅìŋe,"accepts, someone"
ńkÿɛ́,"access, limit"
vɛ́mbùm,accident
ndÿòon,"accident, victim"
nkwʉ̀ŋe,acclaimer
lepùme,accolade
ńtsege,accompany
ḿbum,accomplish
ńzsote,accomplish
ńgube,accomplish
ńkuʼ,accomplish
sàŋa,accountant
sàŋ,accountant
ńkẅé ntáŋ,"accusation, unfounded"
nkẅè ntáŋ,"accusation, unfounded"
ńdaʼ,accuse
ésẅile,accuse
syɛʼɛ́ soon,"accused, falsely"
mbùm ngyaŋgyǎŋ,ache
lekyě,acid from cinders
ńkí,"acidic, be"
cʉ́ŋ,"acidic, very"
ntÿóon,acquaintance
mbèlèntâ,acrobatics
ḿbile,"acrobatics, do"
legÿò,act
ńdɔg tʉ̀,act forcefully
legÿò,action
ḿbʉ́ʼte,activate
ḿbʉ́ʼ,activate
ńtsoon,"active, be a little"
mbÿè nnɛ́,actor
mamèkěm,actor
