en,ngiemboon
tsẅɛ́ʼ,night
netsẅɛ́ʼ,night
letsẅɛ́ʼ,night
ɔ̀ láʼte ntʉ́ʉ,night gone well
kwó,"nightjar, standard-winged"
vévɛ́njÿòon,nightmare
ńdáʼ,"night, spend"
mbíd,"night, very black"
sẅɛ̀ɛ,nil
pfómànkwɔ̀ʼntse,Nile soft-shelled turtle
lepfwɔʼɔ́,nine
ntsɔ̀b lepfwɔʼɔ́ lé legém,nineteen
móm lepfwɔʼɔ́,ninety
pìŋe lé nzèm,ninny
éen èen,no
zèŋe,no
ngǎŋ,no
shǔ fùɔ,nobility title
ḿbyɛʼ,nobly drink
ngie mbà loo,"nobly, I’m speaking to you"
ńnʉʼte,nod
ńnyíʼi,nod one’s head
legyé,noise
lepí,"noise, loud"
cʉ́ʼʉ ... wɔ́,no longer
cʉ̀ʼʉ,no longer
ntsẅè,nomination
tafùɔ,"nomination, royal"
mɔ́ɔn fùɔ,"nomination, royal"
mɔ̌ɔn fùɔ,"nomination, royal"
ndyè fùɔ,"nomination, royal"
tafùɔ móonpúʼ,"nomination, royal"
tsǒon,none
lagá,none
tsɔ̌ɔn,none
sɔɔn,none
jyâjyâ,nonsense
