en,ngiemboon
lekumó,"beans, k. basket for"
sójà,"bean, soya"
mekú ndÿɔgɔ́,"bean, soya"
mélɔɔn mbÿɛ,"bean, sp."
lème ńnéŋe,"bean, sp."
tyenkwé,"bean, sp."
mekú mágmág,"bean, sp."
njwò kwɔb,"bean, sp."
séssé mekú,"bean, sp. black"
mekú sséssé,"bean, sp. black"
mátswǎŋ,"bean, sp. large black"
pepàŋ mekú,"bean, sp. red"
mekú maki,"bean, sp. red"
mekú pepàŋ,"bean, sp. red"
tyéntsem,"bean, sp. small black"
matítí,"bean, sp. small red"
malákú,"bean, sp. white"
féfɔ́gɔ mekú,"bean, sp. white"
mekú féfɔ́gɔ,"bean, sp. white"
mekú mentsáʼa,"beans, sp. speckled"
káŋa mekéle,"beans, sp. speckled"
mekú káŋa mekéle,"beans, sp. speckled"
ńtseme,bear
lelÿò,beard
ńkʉ́bte,beat
ḿbúʼ,beat
kɔ́ɔnte,beating
ésem,beat up
meshùm,beauty
ńtí nue,because
mélàʼmie,because
mélàʼ,because
ńnue,because
nue,because
ńtí páʼ,because
ńtí,because of
ńgwɔ́ gie,because of that
ńtɔgɔ,be clear
kǔ,bed
lesẅíbè,bed bug
ngímè ntʉ̀,bed bug
zyè kú,bedcover
mbʉ́ŋ,bed crosspiece
mbéŋ,bed crosspiece
tsìŋ kǔ,"bed, foot"
