en,ngiemboon
tsẅé,habit
lɔ̌ɔn,"habit finished, far past"
kɔ̌ɔn,"habit finished, yesterday past"
mà,"habit, impossible to change"
ńgwá,habitually
ńtsẅe,habitually
ńdabte,"habitually, do"
pàʼ mbʉ̀ŋ,haemorrhage plant
ngwà,haft
ńtáŋ,haggle over
legẅi,hailstone
mvèmvɛ̀,hair
menoŋo twó,hair
lenoŋ,hair
nnoŋ,hair
kẅìŋe twó,hairdresser
nkwòon metwó,hairdresser
lenoŋo twó,"hair, head"
ńjwo,"hair, remove"
nzwènzẅɛ̀,"hair, short"
menɔgɔ́,"hairs, short"
cÿɔ̀ʼ,hair style
mòon ngékule,"hairy clothes, k."
lelàba mbâmbǎ,hairy woodrose
háb,half
ńgebe,"half, be"
ńkaʼ,"half the story, tell"
ńtẅi,"halfway, dry out"
ńkẅi,hammer
ndù lɔ̀ɔn,"hammer, forge"
