en,ngiemboon
ntÿɔ́ʼ,vassal
mvwɔ̀ʼte,vault
pʉ́ʼte,vector agent
nzab,"vegetable , sticky"
nzab fàgte,"vegetable, sp."
gèlegÿàʼ,"vegetable, sp."
nzab kéyàʼ,"vegetable, sp."
sẅî,"vegetable, sp."
nzab gwág,"vegetable, sp."
nkía,"vegetable, sp."
kàcÿò,"vegetables, potatoes mixed with"
ńnéŋ mmɔ̌g,"vehicle, start"
nŋaŋ nnɛ́,vein
mbÿě ngem,velvet tamarind fruit
ngemé,velvet tamarind tree
ndùŋngwò leloŋó ntse,"velvet, water"
ngùngwò leloŋó ntse,"velvet, water"
sìsìŋ,venom
ḿvabte,ventilate
lelaŋ,"vera, aloe"
gɔ̀ɔn,verb
ńnuʼte,"verb, conjugate"
ntsàʼa,verifier
ńtsáase,verify
ésíɛte,verify
ésíɛ,verify
nkàŋ,verse
kẅǐ nnɛ́,vertebra
nɔ̀ɔn kẅǐ,vertebrate
síŋe,vertigo
sésse,vertigo
tàa,very
shÿòon,very fond of
levàtsàʼ,vibration
