en,ngiemboon
tezsě,ungrateful
jÿònjÿɔg ncwò,ungrateful person
ńkyɛ,unhook
tàʼ ntí,uniform
kâb ndá,uninformed
tàʼ ncwò,union
ńdele,unite
tàʼ ncwò,unity
ńgube,unknot
ndùtépòŋ,unlucky
nkẅì,unmarried
ńkyag,unmask
ńkúu pyé,unrecoverable
ńkyɛ́ʼ,unroll
ńkyɛ́ʼte,unroll
ńtʉʼʉ,"unruly, be"
mǎŋŋwa,unspecified place
ńnyɛ́ʼɛ,"unstuck, come"
métsyɛ,unsubdued
kékáŋ,unsuccessfully
tekúe,untameable
ńkʉ,untidily load
ńkubte,"untidily, manipulate"
ńkubte,"untidily, manipulate"
tùb lekʉŋ,untidy person
éfag,untie
ńkyɛ́ʼte,untie
ńkyɛ́ʼ,untie
tɛɛ,until
tà,until
