en,ngiemboon
ńtsẅiŋ,lack respect
mbǐ,lad
kwɔ́ʼ,ladder
lekwág,ladel
púɔ panzwě,ladies
púɔ ngùɔ,ladies
púɔ panzwě,"ladies, young"
letʉŋ,lake
leteŋ,lake
pwɔ̀ʼte mekwò,lame
ńdúŋ,lament
ntse legwé,lamentation
túlékáŋ,lamp
nkàʼ,lamp
lâm,lamp
pùbpùb,"lamp that goes out, sound"
ésyɛ́ʼ,lance
nɔ̀ɔn,"land, cultivated"
ŋwɛ́,landlord
ngàŋ,landlord
máŋwɛ,"landlord, legitimate"
ntùŋ letoŋ,"land, native"
ngwóŋ,"land, plot"
shwóŋò,language
shwóŋò pakɔsi,"language, Akoose"
shwóŋò pafud,"language, Bafut"
shwóŋò pamom,"language, Bamun"
shwóŋò pʉa mbasǎ,"language, Basaa"
shwóŋò mbulu,"language, Bulu"
shwóŋò pʉa Yɔɔnmendi,"language, Ewondo"
