en,ngiemboon
ńtsíg,think about
kwàŋte,thinking
ḿbɔb,think of doing
ḿbab,think of doing
ńdẅíte,"thinner, become"
ńtaŋte,"thinner, get"
nkwèente,third 
nzyè ntse,thirst
ésẅága gág,"thirst, quench"
ntsɔ̀b tá lé legém,thirteen
móm ntá,thirty
yɔɔn,this
yɔɔn,this
wɔɔn,this
sɔɔn,this
sɔɔn,this
wɔɔn,this
yɔɔn,this ... here
sɔɔn,this ... here
wɔɔn,this ... here
yɔɔn,this one
wɔɔn,this one
sɔɔn,this one
yɔɔn,this one here
wɔɔn,this one here
sɔɔn,this one here
gáŋte,thorax
gáŋ,"thorax, part"
nzènzóŋ,thorn
lezɔ́g,thorn
lekyɛ̌ kúkwò,thorn
nzóŋ,thorn
pɛ̀,those
mi,those
pi,those
sɛ̀,those
si,those
mi,those
mɛ̀,those
sɛ̀,those
yɛ̀,those
yɛ̀,those
pɛ̀,those
mɛ̀,those
pi,those
gi,those
ye,those of
me,those of
se,those of
pe,those of
pɛ̀,those there
mi,those there
pi,those there
sɛ̀,those there
si,those there
yɛ̀,those there
mɛ̀,those there
gi,those there
pa,those ... there
sa,those ... there
mi,those ... there
mɛ̀,those ... there
sɛ̀,those ... there
yɛ̀,those ... there
pɛ̀,those ... there
si,those ... there
ma,those ... there
pi,those ... there
gi,those ... there
ya,those ... there
kwàŋte,thought
nkwaŋá,thought
ntèbe,thoughtlessness
tèbe,thoughtlessness
lepùe,thoughtlessness
ntsáʼ,thousand
ńcúa nnɛ́,thrash about
ńcúɔ nnɛ́,thrash about
