en,ngiemboon
ńduŋ mvfò,"ahead, be"
ḿvɔg,"ahead, be"
ńzyéente,"ahead, go"
ńzyéen,"ahead, go"
ńzie,"ahead, go"
ésẅige,"ahead of, be"
kẅétè,aid
lekẅétè,"aid, mutual"
mbÿě,aiele
tÿǒ mbÿě,aiele
lìi,aiele sap
lekÿò,aim
táleŋ,aim
ńdeŋ,aim at
ńzẅíŋe mmóm,aim at
ńdʉŋ,aim at
ńtéʼe,aim at
ńdʉŋte,aim at
ńdeŋte,aim at
fÿɔ́g,air
fÿág,air
mékɔ́ɔn tÿǒ,air force
gû,"air going by, sound"
ḿvab,"air in, put"
jÿâ,"air moving, sound"
shwóŋò pakɔsi,Akoose language
toŋó ncÿó,"alarm, false"
mbèpòŋ,albino
mekɛ́d,albino
mâfɔ́gɔ,"albino, woman or girl"
mbí melùʼ,alcoholic
píme melùʼ,alcoholic
vakɔ́ɔn,algae
ndilétáŋ,alibi
ńgebe,alienate
ńgebe,alienate
ńgʉbe,alienate
gèbe,alienation
ńtÿɔ́g nkàŋa,align
ńtáŋa,align
ésẅé,"alike, look"
ésẅéte,"alike, look"
