en,ngiemboon
sẅísẅé pepaŋ,"primrose, water"
múɔ ntɔ́ʼ,prince
nkunjʉ̀njÿò,"princess, purple"
tsǎŋ,prison
tʉ̌,prison
gÿòon kèm,prison
ndá tsǎŋ,prison
ngàŋa tsǎŋ,prisoner
melaʼá ndá,private life
ká,probe
tẅítẅǐ,problem
nò,problem
cʉa nò,"problem, delicate"
tsẅì,"problem, marital"
ésyeen,"problems, get into"
ńne,"process of, in"
ne,"process of, in"
ssé,"process of, right in"
ńzém,produce
ndàba,producer
gwǒŋ,profile
zẅɛ̀ʼɛ,profit
ńzẅɛ́ʼ,profit
ḿvɔb,"profit everywhere, search to"
ńtsóte,progress
ńjʉŋ,progress along a flat path
ńne,progressive aspect
ne,progressive aspect
ssé,progressive aspect
ndɔɔn ndɔɔn,progressively
fʉ̀ŋ,prohibition
peláŋ,project
memaʼá,prolongation
mezabá,prolongation
