en,ngiemboon
ḿbwóon,build
ńjwóŋ,build
nkwɛ̀ɛ,builder
mbwòon,builder
ńjwóŋte,build painfully
lepfɔb,bulb
tɔ̌ɔn,bulb
tatÿɔ́ʼ,"bulbul, common"
kìm ntse ntsẅɛ̀ʼɛ,"bulbul, common"
ńtubte,"bulged out, be"
ńtube,"bulged out, be"
éshÿée,"bulk, move"
ńgúʼte,"bulky, be"
lelùŋo,bullet
lùŋo ngú,bullet
mantúm,"bulletin, informational"
legǐ metʉ̌a,bullgrass
legǐ tetʉ̌a,bullgrass
mandelevûm nkyɛ̀,bullroarer
ńnʉʼ,bully
tánɔ̀ʼɔ,bully
ngàŋa nɔ̀ʼ,bully
ńnẅíʼi,bully
ńnẅéʼe,bully
ńnɔʼ,bully
ńnẅile,bully
ńnẅɛ,bully
ngàŋa nʉ̀ʼ,bully
ńnʉʼte,bully
nɔ̀ʼ,bullying
nẅɛ̀,bullying
shwóŋò mbulu,Bulu language
toŋó ncÿó,bum
ńtsẅiŋte,bump
ńtsẅiŋ,bump
ńtú,bump
meluʼú meluʼú,bump
leluʼú,bump
meluʼú meluʼú,bumps
ńgʉ́ʼte,"bumps, have"
ńŋwáŋ,bump strongly
ncùa,bunch
ncùɔ,bunch
mbwɔ̀ʼ,bunch
mpfʉ̀,"burbank, diamond"
pìʼ,burden
letuŋó mpfó,burial
tùŋo legwé,"burial, things given"
