en,ngiemboon
ntɔ́ɔn pwó,"length, unit of measure"
ngẅi,leopard
gégÿɛ́ ndʉ̀m,leopard moth
ngàŋ nkàʼ,leper
nkàʼ,leprosy
ḿpfɔ́gte,lessen
mémmó,lesser
ńkwɔg,let go
ńtsege,let go
ńkwɔgte,let go
ńkwɔgɔ,let go
kàte,letter
ŋwàʼne,letter
ŋwèʼe,letter
lejÿɔ́g,letter
kùkwɔ̀ʼɔ menÿɔ́g,"letter, capital"
nénɔgɔ́,"letter, lower case"
kékɔ́gɔ menÿɔ́g,"letter, lower case"
ndêg,level
ńzab,level
ḿbab,level out
ḿbɔbte,level out
ḿbɔb,level out
ḿbabte,level out
kúlú pâ,lever
shwòŋo tè gyá,liar
ntàŋ melɔ̀ɔn,liar
ngàŋ melɔ̀ɔn,liar
ńcuʼ,liberate
éfÿɛ́,liberate
ńzáʼ nkÿo,liberate
ncùʼ,liberator
Nzàʼnkÿo,Liberator
nkùʼte,librarian
ndèʼe,librarian
ńdaŋ,lick
ńjʉ́ŋte,lick
ésẅí,lick with a finger
ńjʉ́ŋ,lick with a finger
nzìŋe,lid
mpfɛ̀ lekʉŋ,"lid, pot"
pyɛ́ʼte,lie
ńcÿɔ nò,lie
éshʉ́a fʉ,lie
cÿɔ̌nò,lie
ńdɔ́ɔnte,lie
ńcÿɔ pu,lie
ńtáŋ melɔ̀ɔn,lie
sóon,lie
fèbe,lie
ńgwɔ́g ngu,lie
ésíɛ,lie fallow
