en,ngiemboon
ńkúe,provision
pyɛ́bɛ lyɛʼ,provisional
meen ngẅiin,provisional
ńkúete,"provision, time to time"
éséʼe,provoke
ńtágte,provoke
ńkibte,provoke
ńtág,provoke
ńtágte,provoke
ńgyag,"prudent, be"
ésyé,prune
ńkʉŋ,prune
ńkwɔ́gte,prune
ńkwág,prune a tree
ńkwɔ́g,prune a tree
zyɛ̀d,puberty
agûb,public
gyɛ̌,public place
mángyɛ̌,public place
ńkwɔ́ʼɔ gyɛ,publish
lǎg,puddle
ntsɔ̀ʼ ngɔ̌ɔn,puffback shrike
kéléndeŋ,puffback shrike
lengɔ̀ʼɔ,puffback shrike
pɔ̀g,puffs of smoke
ńtém,pull
ńdɔɔnte,pull
ńnyéente,pull
ńcÿóte,pull
ńtsee,pull
éshwoŋ,pull
ńdeen,pull
ésiŋ,pull
ńdyɛ́bte,pull
ńtsɔ́ʼ,pull out
ésaʼ,pull out
nzsǒ fÿág,pullover
ńzẅí,pull up in disorder
mbìle,"pulp, one who removes"
mbìd,"pulp, one who removes"
ńtẅile,"pulp, remove"
ńdumo,pulverize
éfɔ́ɔn,pulverize
ḿbóm,pump
pôm,pump
ngʉ̀b,"pump, enema"
fɔ̀ɔn,pumper
mbòm,pumper
tùbtùb,pump motor
