en,ngiemboon
láʼakém,"place, initiation"
zème,"place in the water, deep"
lèŋe,placenta
tsyǎg,placenta
tsǎg,placenta
lʉ̀ŋe,placenta
fòm,"place, old"
gyɛ̌,"place, public"
mángyɛ̌,"place, public"
ńtemte,"place, put in the same"
ńnɔʼte,"places, press in"
ngě,place to go
nzèm mbàʼ,"place, unclean"
mǎŋŋwa,"place, unspecified"
túm,place where one travels
gwáʼa,plague
tsètsò,"plague, poultry"
peláŋ,plan
vyôŋ,plane
viyôŋ,plane
ngwà,plane
peláŋ,plank
tàʼngwǎ ngwoon,planorbis snail
legǐ,plant
ḿbye,plant
lyága nkàndòŋ,"plantain, green"
ḿbag,"plantain peelings, remove"
ngwoon ssé,"plantain, sp."
nkandòŋ,"plantain, sp."
lemvwɔ̀ʼɔ,"plantain, sp."
nkandi,"plantain, sp."
tùtùʼu mendóŋ nkandòŋ,"plantain, sp."
ngwoon málúʼ,"plantain, sp."
nkandòŋ lemvwɔ̀ʼɔ,"plantain, sp. fat"
mántǒ,plantain with thick fingers
lepyè,"plant disease, k."
pyè ntʉ̀,"plant disease, k."
letsiŋé,"plant, foot"
