en,ngiemboon
lenuŋé,garbage dump
ngálè,garden
páŋ,garden
njʉ̀ʼ ngálè,gardener
láyè,garlic
ńtsẅág,garnish
mbèlenjʉ̂ŋ,gas
mbàlasí,gas
lÿò,gastritis
ndÿò,gastritis
pɔ̌ɔn kʉ̀ŋe,gate
ńdyɛ́te,gather
ńkáb,gather
ngìle,"gather, piece of wood"
ńcúʼ,gather together
ńcúʼte,gather together
ńteme,gather together
ńtemte,gather together
ḿbúte,gather together
ńtem,gather together
ńkʉŋe,gather together
ńgyá  shÿo,gaze at one’s reflection
ngwè tÿǒ,"gecko, sp."
kùkwòon melùŋo,"gecko, sp."
mékɔ́ɔn pàŋa cÿɔ̀ʼ,gendarme
ngàb ngẅɛ̀,"genealogy, founder"
tándà mànzòŋ,"general, army"
ńtsẅe,generally
nzyeente,generation
kwò nkàŋ,generation
lejwoŋó,generation
mbǒŋ lóŋ,generosity
mbyèmelùʼ,"genet, blotched"
nzyeente,genetics
mbyèmelùʼ,"genet, large-spotted"
zyé,genius
tɔ̌ɔnmé,gentleman
ndɔɔn ndɔɔn,gently
ńnyébe,gently
