en,ngiemboon
ńtẅɛ́te,incarnate
tezáʼà,incessant
kège,incident
ńtéŋe,incline
ńtʉ́ŋe,incline
mbǎ,including
nkùu,incomer
telàa,incomparable
ńdʉʼʉ,"incompatible, be"
nyɛ̀ʼɛ,inconsistent
ḿbége mbùm,inconvenience oneself
ńkẅiʼi,increase
éshʉ́a,increase
éshʉ́ate,increase
ńgéʼe,increase the value
éfáŋte,increase the volume
tsétsáŋ,incurable
tsáŋte,incurable
sẅisẅé,"indecent, affair"
tsòon,indecisive
ńzɔɔn ńgwaa gwɔ́,indeed
tsòon,indefinite
lepàŋndâŋ,independence
ndù nnɛ́,independent
ńgwɔ́ ndù nnɛ́,"independent, be"
sẅìi tepwó,index finger
nkem ngù,Indian jointvetch
ńdyɛʼte,indicate
tyɛ̀ʼte,indication
mâg,indication
