en,ngiemboon
ésate,"messed up, be"
mantúm,messenger
ngàŋ ntúm,messenger
ńkubte,"messily, handle"
ńkubte,"messily, handle"
ḿbége,mess up
njʉ́ŋ,metal
meŋwʉŋé,metal
nzème mmó,"metal bell, double"
nně panzwě,metal dibble
kùsáa,metallic sponge
jʉ̂ŋ,"metal, sheet"
ésẅiʼ,metamorphose
ntsyɛʼɛ kwò,metatarsus
sàŋa,meter
ńcwoŋo,meticulously
ńcÿó nnɛ́,meticulously
mítà,metre
fʉ̀ʼʉ mmó,metric system
lùŋ ncwò,micro
lùŋ ncwò,microphone
nkwoŋo ffo,middle
soŋ,middle
tsetsɛ̀ɛ,middle
soŋo,middle
fùɔlàb,middle-class
fùɔndàbnɛ́,middle-class
sòŋ ndù,middle of the skull
múɔ nzeennzse,midge 
tsɛ̀ɛtsẅɛ́ʼ,midnight
tẅɛ̂b lêtsẅɛ́ʼ,midnight
mánkẅè,midwife
ńkÿo láʼ,migrate
lùŋ ncwò,mike
