en,ngiemboon
kéen,"perfective, emphatic"
kěen,"perfective, emphatic"
nkéen,"perfective, emphatic"
ndéen,"perfective, emphatic"
léen,"perfective, emphatic"
nkěen,"perfective, emphatic"
ńcwoŋo,perfectly
éshʉʼ,perforate
ńtɔ́gte,perforate
ńzẅɛʼte,perforate several times
làméndɔ̀ɔn,perfume
kà,perhaps
ndyɛ̀ʼ,perhaps
nzẅɛ̀ʼ tsɔ́,perhaps
ndyɛ̀ʼ tsɔ́,perhaps
nkènkélè,perimeter
lekélè,perimeter
nkènkèle,perimeter
saŋ,period
láʼakém,"period, initiation"
ńdége,perish
tèbe,perplexity
ńkʉ́e,persecute
lekwɛ̌ nkandɔ́ɔn,perseverance
léláa,persistent
nyìŋ,person
ntsiŋe tÿoon,personal support
ngàŋa nò,"person, concerned"
ndÿò,"person, important"
mákùm,"person, masked"
ngàŋa fʉ̌ʼ nò,"person, nasty"
pʉ̀a,persons
ńziʼi,perspire
ńkúu pyé,pervert
ssé ntʉ́m,pervert
gwáʼa,pest
nkwoŋ,pestle
